Symbol,Name,Sector,description
GOOG,Alphabet Inc Class C,Information Technology,NA
MO,Altria Group Inc,Consumer Staples,"Altria Group, Inc. is an American corporation and one of the world's largest producers and marketers of tobacco, cigarettes and related products. It operates worldwide and is headquartered in Henrico County, Virginia."
AMZN,Amazon.com Inc.,Consumer Discretionary,"Amazon.com, Inc., doing business as Amazon, is an American electronic commerce and cloud computing company based in Seattle, Washington that was founded by Jeff Bezos on July 5, 1994."
AEE,Ameren Corp,Utilities,"Ameren Corporation is an American power company created December 31, 1997 by the merger of St. Louis, Missouri's Union Electric Company and the neighboring Central Illinois Public Service Company of Springfield, Illinois."
AAL,American Airlines Group,Industrials,"American Airlines Group, Inc. is an American publicly traded airline holding company headquartered in Fort Worth, Texas."
AEP,American Electric Power,Utilities,"American Electric Power is a major investor-owned electric utility in the United States of America, delivering electricity to more than five million customers in 11 states."
AXP,American Express Co,Financials,"The American Express Company, also known as Amex, is an American multinational financial services corporation headquartered in Three World Financial Center in New York City."
AIG,"American International Group, Inc.",Financials,"American International Group, Inc., also known as AIG, is an American multinational finance and insurance corporation with operations in more than 80 countries and jurisdictions. As of December 31, 2016, AIG companies employed 56,400 people."
AMT,American Tower Corp A,Real Estate,"American Tower Corporation is a publicly held company, owner and operator of wireless and broadcast communications infrastructure in several countries. American Tower is headquartered in Boston, Massachusetts and has local offices worldwide."
AWK,American Water Works Company Inc,Utilities,American Water is an American public utility company operating in the United States and Canada. It was founded in 1886 as the American Water Works & Guarantee Company.
AMP,Ameriprise Financial,Financials,"Ameriprise Financial, Inc. is an American diversified financial services company. Ameriprise Financial engages in business through its subsidiaries, providing financial planning, products and services, ..."
ABC,AmerisourceBergen Corp,Health Care,AmerisourceBergen Corporation is an American drug wholesale company that was formed by the merger of Bergen Brunswig and AmeriSource in 2001.
AME,AMETEK Inc.,Industrials,"AMETEK, Inc. is an American global manufacturer of electronic instruments and electromechanical devices with headquarters in the United States and over 220 manufacturing sites worldwide.The company was founded in 1930."
AMGN,Amgen Inc.,Health Care,"Amgen Inc. is an American multinational biopharmaceutical company headquartered in Thousand Oaks, California. Located in the Conejo Valley, Amgen is the world's largest independent biotechnology firm."
APH,Amphenol Corp,Information Technology,"Amphenol Corporation is a major producer of electronic and fiber optic connectors, cable and interconnect systems such as coaxial cables. Amphenol is a portmanteau from the corporation's original name, American Phenolic Corp."
APC,Anadarko Petroleum Corp,Energy,"Anadarko Petroleum Corporation is an American petroleum and natural gas exploration and production company headquartered in two skyscrapers in The Woodlands, Texas: the Allison Tower and the Hackett ..."
ADI,"Analog Devices, Inc.",Information Technology,"Analog Devices, Inc., also known as ADI or Analog, is an American multinational semiconductor company specializing in data conversion and signal processing technology, headquartered in Norwood, Massachusetts."
ANDV,Andeavor,Energy,"Andeavor, formerly known as Tesoro Corporation, or simply as Tesoro, is a Fortune 100 and a Fortune Global 500 company headquartered in Texas at San Antonio, with 2013 annual revenues of $37 billion, and over 13,000 employees worldwide."
ANSS,ANSYS,Information Technology,"Ansys, Inc. is a public company based in Canonsburg, Pennsylvania. It develops and markets engineering simulation software."
ANTM,Anthem Inc.,Health Care,"Anthem, Inc. is an American health insurance company founded in the 1940s, prior to 2014 known as WellPoint, Inc. It is the largest for-profit managed health care company in the Blue Cross and Blue Shield Association."
AON,Aon plc,Financials,"Aon plc is a global professional services firm headquartered in London that provides risk, retirement and health consulting. Aon has approximately 500 offices worldwide, serving 120 countries with 69,000 employees."
APA,Apache Corporation,Energy,Apache Corporation is an American petroleum and natural gas exploration and production company incorporated in Delaware and headquartered in Houston. The company is on the Fortune 500.
AIV,Apartment Investment & Management,Real Estate,NA
AAPL,Apple Inc.,Information Technology,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, and online services."
AMAT,Applied Materials Inc.,Information Technology,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software to enable the manufacture of semiconductor chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products."
APTV,Aptiv Plc,Consumer Discretionary,"Aptiv PLC is a global automotive parts technology company headquartered in Gillingham, Kent, UK.With offices worldwide, the company operates manufacturing sites, 14 technical centers, and customer centers across 45 countries."
ADM,Archer-Daniels-Midland Co,Consumer Staples,"The Archer Daniels Midland Company is an American global food processing and commodities trading corporation, headquartered in Chicago, Illinois."
ARNC,Arconic Inc.,Industrials,"Alcoa Corporation is an American industrial corporation. It is the world's sixth largest producer of aluminium, with corporate headquarters in Pittsburgh, Pennsylvania. Alcoa conducts operations in 10 countries."
AJG,Arthur J. Gallagher & Co.,Financials,"Arthur J. Gallagher & Co. is a US-based global insurance brokerage and risk management services firm headquartered at in Rolling Meadows, Illinois. The firm was established in 1927 and is the third largest insurance broker in the world."
AIZ,Assurant Inc.,Financials,"Assurant, Inc. is a global provider of risk management products and services with headquarters in New York City."
T,AT&T Inc.,Telecommunication Services,NA
ADSK,Autodesk Inc.,Information Technology,"Autodesk, Inc. is an American multinational software corporation that makes software for the architecture, engineering, construction, manufacturing, media, and entertainment industries."
ADP,Automatic Data Processing,Information Technology,"Automatic Data Processing, Inc., commonly known as ADP, is an American provider of human resources management software and services. As of 2010, ADP was one of four American companies to have a AAA credit rating from Standard & Poor's and Moody's."
AZO,AutoZone Inc,Consumer Discretionary,"AutoZone is the largest retailer of aftermarket automotive parts and accessories in the United States. Founded in 1979, AutoZone has over 6,000 stores across the United States, Mexico, and Brazil. The company is based in Memphis, Tennessee."
AVB,"AvalonBay Communities, Inc.",Real Estate,"AvalonBay Communities, Inc. is a publicly traded real estate investment trust that invests in apartments."
AVY,Avery Dennison Corp,Materials,"Avery Dennison Corporation is a global manufacturer and distributor of pressure-sensitive adhesive materials, apparel branding labels and tags, RFID inlays, and specialty medical products."
BHGE,"Baker Hughes, a GE Company",Energy,"Baker Hughes, a GE company is an international industrial service company and one of the world's largest oil field services companies. As of July 2017 Baker Hughes is 62.5% owned by General Electric Company and 37.5% publicly traded."
BLL,Ball Corp,Materials,"Ball Corporation is an American company headquartered in Broomfield, Colorado, that is best known for its early production of glass jars, lids, and related products used for home canning."
BAC,Bank of America Corp,Financials,"Bank of America Corporation is an American multinational financial services company headquartered in Charlotte, North Carolina. It is ranked 2nd on the list of largest banks in the United States by assets."
BAX,Baxter International Inc.,Health Care,"Baxter International Inc. is a Fortune 500 American health care company with headquarters in Deerfield, Illinois."
BBT,BB&T Corporation,Financials,BlackBerry Limited is a Canadian multinational company specializing in enterprise software and the Internet of things.
BDX,Becton Dickinson,Health Care,"Becton, Dickinson and Company is an American medical technology company that manufactures and sells medical devices, instrument systems, and reagents."
BRK.B,Berkshire Hathaway,Financials,"Berkshire Hathaway Inc. is an American multinational conglomerate holding company headquartered in Omaha, Nebraska, United States."
BBY,Best Buy Co. Inc.,Consumer Discretionary,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota. It was originally founded by Richard M. Schulze and James Wheeler in 1966 as an audio specialty store called Sound of Music."
BIIB,Biogen Inc.,Health Care,"Biogen, Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurodegenerative, ..."
BLK,BlackRock,Financials,"BlackRock, Inc. is an American global investment management corporation based in New York City. Founded in 1988, initially as a risk management and fixed income institutional asset manager, BlackRock ..."
HRB,Block H&R,Financials,"Prisoner is an Australian soap opera, set in the Wentworth Detention Centre, a fictional women's prison."
BA,Boeing Company,Industrials,"The Boeing Company is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, and satellites worldwide. The company also provides leasing and product support services."
BKNG,Booking Holdings Inc,Consumer Discretionary,"Booking Holdings, is an American company that owns and operates several travel fare aggregators and travel fare metasearch engines including namesake and flagship Booking.com, Priceline.com, Agoda.com, ..."
BWA,BorgWarner,Consumer Discretionary,"BorgWarner Inc. is an American worldwide automotive industry components and parts supplier. It is primarily known for its powertrain products, which include manual and automatic transmissions and ..."
BXP,Boston Properties,Real Estate,"Boston Properties, Inc., a self-administered and self-managed American real estate investment trust, is one of the largest owners, managers and developers of Class A office properties in the United ..."
BSX,Boston Scientific,Health Care,"Boston Scientific Corporation is a manufacturer of medical devices used in interventional medical specialties, including interventional radiology, interventional cardiology, peripheral interventions, ..."
BHF,Brighthouse Financial Inc,Financials,"Brighthouse Financial, Inc. is a major provider of annuities and life insurance in the U.S., with more than $220 billion in total assets and approximately 2.7 million insurance policies and annuity contracts in-force."
BMY,Bristol-Myers Squibb,Health Care,"Bristol-Myers Squibb is an American pharmaceutical company, headquartered in New York City.Bristol-Myers Squibb manufactures prescription pharmaceuticals in several therapeutic areas, including cancer, ..."
AVGO,Broadcom,Information Technology,NA
BF.B,Brown-Forman Corp.,Consumer Staples,The Brown-Forman Corporation is one of the largest American-owned companies in the spirits and wine business.
CHRW,C. H. Robinson Worldwide,Industrials,"C.H. Robinson is a Fortune 500 provider of multimodal transportation services and third-party logistics. The company offers freight transportation, transportation management, brokerage and warehousing."
CA,"CA, Inc.",Information Technology,"CA Technologies, formerly known as Computer Associates International, Inc. and CA, Inc., is an American multinational publicly held corporation headquartered in New York City."
COG,Cabot Oil & Gas,Energy,"Cabot Oil & Gas Corporation is a petroleum, natural gas, and natural gas liquids exploration and production company organzied in Delaware and based in Houston, Texas."
CDNS,Cadence Design Systems,Information Technology,"Cadence Design Systems, Inc. is an American multinational electronic design automation software and engineering services company, founded in 1988 by the merger of SDA Systems and ECAD, Inc."
CPB,Campbell Soup,Consumer Staples,"The Campbell Soup Company, also known as just Campbell's, is an American producer of canned soups and related products that are sold in 120 countries around the world. It is headquartered in Camden, New Jersey."
COF,Capital One Financial,Financials,"Capital One Financial Corporation is a bank holding company specializing in credit cards, auto loans, banking and savings products headquartered in McLean, Virginia."
CAH,Cardinal Health Inc.,Health Care,"Cardinal Health, Inc. is a Fortune 500 health care services company based in Dublin, Ohio. The company specializes in distribution of pharmaceuticals and medical products, serving more than 100,000 locations."
KMX,Carmax Inc,Consumer Discretionary,"CarMax is the United States' largest used-car retailer and a Fortune 500 company. The first CarMax location opened in September 1993. As of March 2017, the company had 173 locations."
CCL,Carnival Corp.,Consumer Discretionary,"Carnival Corporation & plc is a United States-based cruise company and the world's largest travel leisure company, with a combined fleet of over 100 vessels across 10 cruise line brands."
CAT,Caterpillar Inc.,Industrials,"Caterpillar Inc. is an American Fortune 100 corporation which designs, develops, engineers, manufactures, markets and sells machinery, engines, financial products and insurance to customers via a worldwide dealer network."
CBOE,Cboe Global Markets,Financials,Cboe Global Markets is an American company that owns the Chicago Board Options Exchange and the stock exchange operator BATS Global Markets.
CBRE,CBRE Group,Real Estate,"CBRE Group, Inc. is the largest commercial real estate services and investment firm in the world. It is based in Los Angeles, California and operates more than 450 offices worldwide and has clients in more than 100 countries."
CBS,CBS Corp.,Consumer Discretionary,"CBS Corporation is an American mass media corporation focused on commercial broadcasting, publishing, and television production, with most of its operations in the United States."
CELG,Celgene Corp.,Health Care,"Celgene Corporation is an American biotechnology company that discovers, develops and commercializes medicines for cancer and inflammatory disorders. It is incorporated in Delaware and headquartered in Summit, New Jersey."
CNC,Centene Corporation,Health Care,Centene Corporation is a large publicly-traded company and a leading multi-line healthcare enterprise that serves as a major intermediary for both government-sponsored and privately insured health care programs.
CNP,CenterPoint Energy,Utilities,"CenterPoint Energy is a Fortune 500 electric and natural gas utility serving several markets in the U.S. states of Arkansas, Louisiana, Minnesota, Mississippi, Oklahoma, and Texas."
CTL,CenturyLink Inc,Telecommunication Services,"CenturyLink, Inc. is an American telecommunications company, headquartered in Monroe, Louisiana, that provides communications and data services to residential, business, governmental, and wholesale customers in 37 states."
CERN,Cerner,Health Care,"Cerner Corporation is an American supplier of health information technology solutions, services, devices and hardware."
CF,CF Industries Holdings Inc,Materials,"CF Industries Holdings, Inc. is a North American manufacturer and distributor of agricultural fertilizers, based in Deerfield, Illinois, a suburb of Chicago. It was founded in 1946 as the Central Farmers Fertilizer Company."
SCHW,Charles Schwab Corporation,Financials,"The Charles Schwab Corporation is a bank and brokerage firm, based in San Francisco, California. It was founded in 1971 by Charles R. Schwab and is one of the largest banks in the United States and is ..."
CHTR,Charter Communications,Consumer Discretionary,"Charter Communications, Inc. is an American telecommunications company that offers its services to consumers and businesses under the branding of Spectrum."
CVX,Chevron Corp.,Energy,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries."
CMG,Chipotle Mexican Grill,Consumer Discretionary,"Chipotle Mexican Grill, Inc. is an American chain of fast casual restaurants in the United States, United Kingdom, Canada, Germany, and France, specializing in tacos and Mission-style burritos."
CB,Chubb Limited,Financials,Chubb Limited is the worlds largest publicly traded property and casualty insurer. The company has offices in 54 countries.
CHD,Church & Dwight,Consumer Staples,NA
CI,CIGNA Corp.,Health Care,"Cigna is an American worldwide health services organization based in suburban Bloomfield, Connecticut and Philadelphia, Pennsylvania."
XEC,Cimarex Energy,Energy,"Cimarex Energy Co. is a petroleum and natural gas exploration and production company organized in Delaware and headquartered in Denver, Colorado, with operations primarily in Texas, Oklahoma, and New Mexico."
CINF,Cincinnati Financial,Financials,"Cincinnati Financial Corporation offers property and casualty insurance, its main business, through The Cincinnati Insurance Company, The Cincinnati Indemnity Company and The Cincinnati Casualty Company."
CTAS,Cintas Corporation,Industrials,"Cintas Corporation is an American company with headquarters in Cincinnati, Ohio, that provides specialized services to businesses, primarily in North America."
CSCO,Cisco Systems,Information Technology,"Cisco Systems, Inc. is an American multinational technology conglomerate headquartered in San Jose, California, in the center of Silicon Valley, that develops, manufactures and sells networking hardware, ..."
C,Citigroup Inc.,Financials,Citigroup Inc. or Citi is an American multinational investment bank and financial services corporation headquartered in New York City.
CFG,Citizens Financial Group,Financials,"Citizens Financial Group, Inc. is an American bank headquartered in Providence, Rhode Island, which operates in the states of Connecticut, Delaware, Massachusetts, Michigan, New Hampshire, New Jersey, ..."
CTXS,Citrix Systems,Information Technology,"Citrix Systems, Inc. is an American multinational software company that provides server, application and desktop virtualization, networking, software as a service, and cloud computing technologies."
CME,CME Group Inc.,Financials,"CME Group Inc. is an American financial market company operating an options and futures exchange. It owns and operates large derivatives and futures exchanges in Chicago, New York City, and exchange ..."
CMS,CMS Energy,Utilities,"CMS Energy, based in Jackson, Michigan, is an energy company that is focused principally on utility operations in Michigan."
KO,Coca-Cola Company (The),Consumer Staples,"The Coca-Cola Company is an American multinational beverage corporation, and manufacturer, retailer, and marketer of nonalcoholic beverage concentrates and syrups."
CTSH,Cognizant Technology Solutions,Information Technology,"Cognizant is an American multinational corporation that provides IT services, including digital, technology, consulting, and operations services. It is headquartered in Teaneck, New Jersey, United States."
CL,Colgate-Palmolive,Consumer Staples,"The Colgate-Palmolive Company is an American worldwide consumer products company focused on the production, distribution and provision of household, health care and personal care products."
CMCSA,Comcast Corp.,Consumer Discretionary,Comcast Corporation is an American global telecommunications conglomerate that is the largest broadcasting and cable television company in the world by revenue.
CMA,Comerica Inc.,Financials,"Comerica Incorporated is a financial services company headquartered in Dallas, Texas. It has retail banking operations in Texas, Michigan, Arizona, California and Florida, with select business operations ..."
CAG,Conagra Brands,Consumer Staples,"Conagra Brands, Inc. is a North American packaged foods company headquartered in Chicago, Illinois. Conagra makes and sells products under various brand names that are available in supermarkets, restaurants, and food service establishments."
CXO,Concho Resources,Energy,"Concho Resources Inc. is a petroleum and natural gas exploration and production company organized in Delaware and headquartered in Midland, Texas, with operations exclusively in the Permian Basin."
COP,ConocoPhillips,Energy,"ConocoPhillips Company is an American multinational energy corporation with its headquarters located in the Energy Corridor district of Houston, Texas in the United States."
ED,Consolidated Edison,Utilities,"Consolidated Edison, Inc., commonly known as Con Edison or Con Ed, is one of the largest investor-owned energy companies in the United States, with approximately $13 billion in annual revenues as of 2016, and over $47 billion in assets."
STZ,Constellation Brands,Consumer Staples,"Constellation Brands, Inc., a Fortune 500 company, is an international producer and marketer of beer, wine and spirits."
GLW,Corning Inc.,Information Technology,"Corning Incorporated is an American multinational technology company that specializes in specialty glass, ceramics, and related materials and technologies including advanced optics, primarily for industrial and scientific applications."
COST,Costco Wholesale Corp.,Consumer Staples,"Costco Wholesale Corporation, trading as Costco, is an American multinational corporation which operates a chain of membership-only warehouse clubs."
COTY,"Coty, Inc",Consumer Staples,"Coty, Inc., is an American beauty products manufacturer with operations in over 150 countries. Based in New York, the company was founded in Paris, France, by Franois Coty in 1904."
CCI,Crown Castle International Corp.,Real Estate,"Crown Castle International Corp. is an American corporation headquartered in Houston, Texas, which provides infrastructure for broadcasting, mobile telephony and wireless broadband including small cell, ..."
CSRA,CSRA Inc.,Information Technology,"CSRA Inc. provides information technology services to U.S. government clients in national security, civil government, and health care and public health."
CSX,CSX Corp.,Industrials,"The CSX Corporation is an American holding company focused on rail transportation and real estate in North America, among other industries. The company was established in 1980 as part of the Chessie System and Seaboard Coast Line Industries merger."
CMI,Cummins Inc.,Industrials,"Cummins Inc. is an American Fortune 500 corporation that designs, manufactures, and distributes engines, filtration, and power generation products."
CVS,CVS Health,Consumer Staples,"CVS Health Corporation is an American retail pharmacy and health care company headquartered in Woonsocket, Rhode Island."
DHI,D. R. Horton,Consumer Discretionary,"D. R. Horton, Inc. is a home construction company incorporated in Delaware and headquartered in Arlington, Texas. In 2017, the company was the largest home builder in the United States based on the number of homes closed."
DHR,Danaher Corp.,Health Care,"The Danaher Corporation is a globally diversified conglomerate with its headquarters in Washington, D.C., United States. Danaher is #144 on the 2017 Fortune 500 list."
DRI,Darden Restaurants,Consumer Discretionary,"Darden Restaurants, Inc. is an American multi-brand restaurant operator headquartered in Orlando. As of April 2017, the firm owns two fine dining restaurant chains: Eddie V's Prime Seafood and The ..."
DVA,DaVita Inc.,Health Care,"DaVita Inc. is an American healthcare company. It is best known as one of the largest kidney care providers in the United States. Originally named Total Renal Care, the company was restructured as DaVita by CEO Kent Thiry in 1999."
DE,Deere & Co.,Industrials,NA
DAL,Delta Air Lines Inc.,Industrials,"Delta Air Lines, Inc., commonly referred to as Delta, is a major American airline, with its headquarters and largest hub at HartsfieldJackson Atlanta International Airport in Atlanta, Georgia."
XRAY,Dentsply Sirona,Health Care,Dentsply Sirona is an American dental equipment maker and dental consumables producer that markets its products in over 120 countries. It has factories in 21 countries.
DVN,Devon Energy Corp.,Energy,"Devon Energy Corporation is an American independent natural gas, natural gas liquids, and petroleum exploration company focused on onshore exploration and production in North America."
DLR,Digital Realty Trust Inc,Real Estate,"Digital Realty Trust, Inc. is a real estate investment trust that invests in carrier-neutral data centers and provides colocation and peering services."
DFS,Discover Financial Services,Financials,"Discover Financial Services, Inc. is an American financial services company, which issues the Discover Card and operates the Discover and Pulse networks, and owns Diners Club International."
DISCA,Discovery Inc. Class A,Consumer Discretionary,NA
DISCK,Discovery Inc. Class C,Consumer Discretionary,NA
DISH,Dish Network,Consumer Discretionary,"Dish Network Corporation is an American-based direct-broadcast satellite service provider. The company provides satellite television, audio programming, and interactive television services to commercial ..."
DG,Dollar General,Consumer Discretionary,"Dollar General Corporation is an American chain of variety stores headquartered in Goodlettsville, Tennessee. As of August 2017, Dollar General operated over 16,500 stores in 45 of the 48 contiguous United States."
DLTR,Dollar Tree,Consumer Discretionary,"Dollar Tree, Inc., formerly known as Only $1.00, is an American chain of discount variety stores that sells items for $1 or less."
D,Dominion Energy,Utilities,"Dominion Energy, Inc., commonly referred to as Dominion, is an American power and energy company headquartered in Richmond, Virginia that supplies electricity in parts of Virginia and North Carolina ..."
DOV,Dover Corp.,Industrials,"Dover Corporation is an American conglomerate manufacturer of industrial products. Founded in 1955 in New York City, Dover is now based in Downers Grove, Illinois, and employs more than 26,000 people worldwide."
DWDP,DowDuPont,Materials,"The Dow Chemical Company, commonly referred to as Dow, is an American multinational chemical corporation headquartered in Midland, Michigan, United States, and the predecessor of the merged company DowDuPont."
DPS,Dr Pepper Snapple Group,Consumer Staples,"Dr Pepper Snapple Group, Inc. is an American soft drink company, based in Plano, Texas. Formerly called Cadbury Schweppes Americas Beverages, on May 5, 2008, it was spun off from Britain's Cadbury ..."
DTE,DTE Energy Co.,Utilities,"DTE Energy Co. is an American Detroit, Michigan-based utility incorporated in 1995 involved in the development and management of energy-related businesses and services nationwide."
DUK,Duke Energy,Utilities,"Duke Energy, headquartered in Charlotte, North Carolina, is an electric power holding company in the United States, with assets also in Canada and Latin America."
DRE,Duke Realty Corp,Real Estate,"Duke Realty is a major United States real estate investment trust, based in Indianapolis, Indiana. It mainly owns industrial warehouses."
DXC,DXC Technology,Information Technology,"DXC Technology is an end-to-end services company headquartered in Tysons Corner, Virginia. DXC provides information technology and consulting services to businesses and governments."
ETFC,E*Trade,Financials,E-Trade Financial Corporation is a financial services company organized in Delaware and headquartered in New York City. The company provides services for individuals and institutions that are investing online.
EMN,Eastman Chemical,Materials,"Eastman Chemical Company, an American Fortune 500 company, is a global specialty chemical company that produces a broad range of advanced materials, chemicals and fibers for everyday purposes."
ETN,Eaton Corporation,Industrials,"Eaton Corporation Plc is a multinational power management company with 2017 sales of $20.4 billion, founded in the United States with corporate headquarters in Dublin, Ireland."
EBAY,eBay Inc.,Information Technology,"eBay Inc. is a multinational e-commerce corporation based in San Jose, California that facilitates consumer-to-consumer and business-to-consumer sales through its website."
ECL,Ecolab Inc.,Materials,"Ecolab Inc., headquartered in St. Paul, Minnesota, is an American global provider of water, hygiene and energy technologies and services to the food, energy, healthcare, industrial and hospitality markets."
EIX,Edison Int'l,Utilities,"Edison International is a public utility holding company based in Rosemead, California. Its subsidiaries include Southern California Edison, and un-regulated non-utility business assets Edison Energy."
EW,Edwards Lifesciences,Health Care,Edwards Lifesciences is an American medical equipment company specializing in artificial heart valves and hemodynamic monitoring.
EA,Electronic Arts,Information Technology,"Electronic Arts Inc. is an American video game company headquartered in Redwood City, California. Founded and incorporated on May 28, 1982 by Trip Hawkins, the company was a pioneer of the early home ..."
EMR,Emerson Electric Company,Industrials,"The Emerson Electric Company is an American multinational corporation headquartered in Ferguson, Missouri, United States."
ETR,Entergy Corp.,Utilities,"Entergy Corp. is an integrated energy company engaged primarily in electric power production and retail distribution operations in the Deep South of the United States. It is headquartered in the Central Business District of New Orleans, Louisiana."
EVHC,Envision Healthcare,Health Care,"Envision Healthcare is an American healthcare company and national hospital based physician group.It has been a part of the S&P 500 index since December 2, 2016, where it replaced Legg Mason."
EOG,EOG Resources,Energy,"EOG Resources, Inc. is an American petroleum and natural gas exploration company organized in Delaware and headquartered in the Heritage Plaza building in Houston, Texas.The company is ranked 356th on the Fortune 500."
EQT,EQT Corporation,Energy,"EQT Corporation is a petroleum and natural gas exploration and pipeline transport company headquartered in EQT Plaza in Pittsburgh, Pennsylvania."
EFX,Equifax Inc.,Industrials,Equifax Inc. is a consumer credit reporting agency. Equifax collects and aggregates information on over 800 million individual consumers and more than 88 million businesses worldwide.
EQIX,Equinix,Real Estate,"Equinix, Inc. is an American multinational company headquartered in Redwood City, California, that specializes in internet connection and related services."
EQR,Equity Residential,Real Estate,"Equity Residential is a publicly traded real estate investment trust that invests in apartments.As of December 31, 2017, the company owned or had investments in 305 properties consisting of 78,611 ..."
ESS,"Essex Property Trust, Inc.",Real Estate,"Essex Property Trust is a publicly-traded real estate investment trust that invests in apartments, primarily on the West Coast of the United States."
EL,Estee Lauder Cos.,Consumer Staples,"The Este Lauder Companies Inc. is an American manufacturer and marketer of prestige skincare, makeup, fragrance and hair care products."
