Name,Categories,Description
Geek Cloud Consulting,IT Services,"We are an Hybrid IT Managed Service Provider firm based in Utah. Would your business benefit from Open Source technologies, saving money, and more security. Please feel free to comment and contact sales@geekcloudconsulting.com in order to see just which of our offerings will fix issues you are having, and streamline your entire process through technology. Please feel free to investigate ClearCenter, BackBlaze, Carbonite, and other of my partners, especially as soon as my website www.geekcloudconsulting.com is updated."
CloudMine,IT Services,"Cloud Mine Consulting is a digital marketing and CRM consulting firm specializing in Salesforce.com, Marketo, Pardot, Marketing Cloud and many other platforms."
CLOUD NATIVE ENGINEERING,IT Services,"We build twelve-factor apps with microservice architecture that helps you launch your product into the market within weeks. With this reliable, quick and continuous lifecycle process in the picture, you can get the best out of the cloud - plan, prioritize and track the progress of whatever you do, better. And the best part, Embracing cloud-native gives your product an agility, therefore giving your business an agility too."
DTS Consulting,IT Services,"DTS is a service that enable end users, IT and management to utilize new and existing technology to its fullest, to implement solutions that move people, including IT, up the value chain."
Edgewater Consulting,IT Services,"Edgewater Consulting is a firm that helps business leaders drive transformational change through its unique set of business and technology services and domain expertise, it blend classic consulting disciplines with technical services to help organizations get the most out of their existing IT assets while creating new digital business models."
Zalando,Apparel & Fashion,"Welcome to Zalando UK. We're the ones with the orange triangle. From the beginning we've been all about High Street to High End brands - bringing them together, all in one place. We have Europe's largest selection of clothing, accessories and shoes online, mixing popular British High Street brands with high end designers and fresh, independent labels."
ASOS,Apparel & Fashion,"Asos.com is a British online fashion and beauty retailer. Primarily aimed at young adults, Asos sells over 850 brands as well as its own range of clothing and accessories."
Select,Apparel & Fashion,"Select Fashion is a high-street women's-wear retailer aimed at 18-35 year olds. With up to 4000 products (clothing, footwear and accessories), and new lines added each week, Select offers quality products inspired by the latest fashion trends at an affordable price. Currently with over 180 UK stores and rapid expansion plans in place, our key focus is on opening more prime trading stores throughout the UK. Select's product range covers key fashion needs, from trendy clothing to footwear and accessories. From the season's must-haves to essential items, every young woman will find her perfect match."
Missguided,Apparel & Fashion,"Our mission is to empower females globally to be confident in themselves and be who they want to be. Missguided is a bold, straight talking and forward thinking fashion brand inspired by real life that aims to do exactly that. Everything we create is informed by our customer along with global influences like social media, street style, and popular culture, creating a destination that delivers and encompasses everything it means to be a girl on the go in the world today."
Prettylittlething,Apparel & Fashion,"PrettyLittleThing is a UK-based fashion retailer, aimed at 16-24 year old females. The company is owned by Boohoo.com Group and it operates in the UK, Ireland, Australia, US and France."
Pentagram,Graphic Design,"Pentagram is the world's largest independently-owned design studio. Our work encompasses graphics and identity, architecture and interiors, products and packaging, exhibitions and installations, websites and digital experiences, advertising and communications. Our 20 partners are all practicing designers, and whether they are working collaboratively or independently, they always do so in friendship. Our structure is unique. We are the only major design studio where the owners of the business are the creators of the work and serve as the primary contact for every client. This reflects our conviction that great design cannot happen without passion, intelligence and ' above all ' personal commitment, and is demonstrated by a portfolio that spans five decades and all industries."
landor,Graphic Design,"We design for the future'in ways that make sense right now. We're strategic experts and creative explorers committed to solving complex challenges. With smart tools and global resources, we examine the implications of every brand choice, create new experiences, and open doors to opportunity."
Metadesign,Graphic Design,"MetaDesign is an international design consultancy known for branding and brand strategy, founded by Erik Spiekermann, Uli Mayer-Johanssen and Hans Ch. Kruger."
The Chase,Graphic Design,"Ranked number one in 2013 by Design Week National Creative League Table and clocking more than 250 national and international awards, The Chase has garnered attention for their innovative corporate branding and print design. These self-proclaimed creative consultants offer an interesting sampling of skills including calendar design, museum exhibits, and sports stadium branding."
Charlie Smith Design,Graphic Design,"Charlie Smith Design was founded in 2003 by ex-Pentagram designer Charlie Smith. Coming from such a world-renowned company, it's no surprise her new project was a success. Her team offers a full range of services including packaging and digital, and they take a detail oriented approach, giving attention to every aspect of each design project, from  paper choice to materials used."
Cooper Carry,Architectural Design,"Cooper Carry is a national firm offering Architecture, Environmental Graphic Design, Interior Design, Landscape Architecture, Planning and Sustainability Consulting services. Our specialty practice groups include specialists in Corporate, Government, Higher Education, Hospitality, K-12 Education, Mixed-Use, Office, Residential, Retail, Science + Technology and Transit projects. Our multidisciplinary approach lets us integrate specialized knowledge to create Connective Architecture: connecting ideas and people to the places where they work, relax, live and learn. Founded in 1960, Cooper Carry has offices in Atlanta, GA, New York, and Washington, DC, with projects around the world."
Huckabee,Architectural Design,"Huckabee is committed to the success of all students and the profound impact it has on all of us. We believe facilities play such a significant role in student success, that we are exclusively focused on this one thing. Huckabee delivers collaborative, thoughtful and data-driven facility solutions to meet the evolving needs of education. Although simple, our commitment requires a complex effort by a sophisticated network of people. We are more than architects. We are a team of experts, each focused on a unique aspect of education, standing beside you as we work toward a common goal the success of all students."
"Beyer Blinder Belle, Architects & Planners LLP",Architectural Design,"Founded in 1968, Beyer Blinder Belle employs 195 professionals, including architects, planners, historic preservationists, researchers, historic tax credit specialists, and construction administrators. There are 10 Partners and 13 Associate Partners. Our integrated, multi-disciplinary organization allows us to provide comprehensive services at all stages of a project's evolution and realization. In addition to our commitment to excellence in design, we provide our clients with a parallel level of attentive project management to meet the demands of schedule and budget, ensuring that we provide the highest quality in both design and project delivery."
Hord Coplan Macht Inc.,Architectural Design,"Design is a collaborative process. At Hord Coplan Macht, we strive to listen carefully, advise and collaborate with our clients in order to help them achieve their vision. We believe that by working together and being respectful of our environment, we can achieve design excellence that will exceed your expectations. Hord Coplan Macht has been named a Best Place to Work_ by both the Baltimore Business Journal and the Denver Business Journal. In 1977, HCM was founded with the goal of providing the highest quality architectural, landscape architectural and planning services to our clients. We firmly believe in a collaborative, multi-disciplinary approach to problem solving. Our 260-person firm maintains small-firm values as a collection of education, residential, health care, landscape architecture and planning studios."
GreenbergFarrow,Architectural Design,"GreenbergFarrow is a fully integrated architecture, engineering, planning, landscape architecture and development services firm. With over 40 years of experience and seventeen offices nationwide, as well as in Shanghai, Mexico, and Colombia, we have worked in nearly every state, in thousands of cities nationwide. Having been involved in every aspect of the highly specialized practice of development services, we have gained an invaluable and unrivaled degree of knowledge and expertise. Specializing primarily in retail, mixed-use, multi-family residential developments, commercial and industrial projects, hospitality and interiors, GreenbergFarrow's list of clients includes an impressive array of the nation's most prestigious developers and retail clients. With a pragmatic approach, GreenbergFarrow treats every project as though we are an equity partner and offers solutions that reflect a thorough understanding of our clients'_ objectives."
thecanvasworks,Artwork E-commerce,"We believe that photos mean more when they're printed. So our mission is to make it easy for you to create beautiful canvas prints, framed prints and collage prints from your mobile and camera photos.  Prints on quality materials, finished by hand that will stand the test of time. Prints that showcase your new photos and give a fresh lease of life to your old ones.  Prints that you, and we, can be proud of.  Alongside our personalised print studio, we also produce a lovely range of vintage style travel posters and we carry other cool prints from various designers around the world like Pop Chart Lab and Bold & Noble. We've been in business for over ten years now, having started out in Dun Laoghaire back in 2003."
lindsayletters,Artwork E-commerce,"So, here's the short version. I dreamt up first stationery line when I was five and took a calligraphy class when I was 10, went to school to become a graphic designer, graphic designed, started creating custom wedding invitations, started addressing said invitations, and fell madly in love with lettering and Dugan. After years of focusing on custom work and event stationery and blogging about my projects, which is where the Lindsay Letters came from! I decided to step out in faith and turn my portfolio blog into an official online shop in 2012."
Telegraph Art & Comics,Artwork E-commerce,"Telegraph Art & Comics is a comic shop unlike any other in Charlottesville, VA. We carry a wide selection of monthly titles, graphic novels, and trade paperbacks, but our specialty is working with smaller publishers and independent artists. We believe that comics are for everyone, and this is reflected in our wide selection. "
artworkheroes,Artwork E-commerce,"At ArtworkHeroes we believe that great art can come from everywhere and anyone.  We furthermore believe that creative talent has not only the power to tear down borders connecting people from all over the world but to even make the world a better place. At ArtworkHeroes you can thus discover, score, buy and sell limited edition artwork created from Instagram and regular photos as well as graphic designs and paintings. The best part is, each sale supports amazing small charity organisations from around the world. On ArtworkHeroes you can thus make a difference in a whole new and fun way!"
designdifferent,Artwork E-commerce,"Hello, I'm Ryan McArthur. I grew up in Ontario CANADA. Went to school at Sheridan College for Graphic Design and New Media. I'm now Married to my beautiful wife and have two crazy kids. Before opening Design Different I was in advertising. I worked as a interactive web designer for 13 years until I decided to venture out on my own. Get an even deeper story here."
ericksonliving,Health Care,"We combine top-notch health care, exciting amenities and dozens of clubs and activities into one vibrant and affordable lifestyle. You will be hard pressed to find better retirement communities in NJ than what Erickson Living has to offer. In addition to an independent and active life, enjoy greater peace of mind knowing that continuing care is available. should you ever need it."
Sunrise Senior Living,Health Care,"Sunrise offers senior living services including independent living, assisted living, care for individuals with Alzheimer's disease and other forms of memory loss, as well as nursing and rehabilitative services."
Brookdale,Health Care,"Brookdale offers Independent Living, Personalized Assisted Living, Memory Care for Alzheimer's disease and dementia diagnosed residents, Rehabilitation, Skilled Nursing and Home Health Services. Brookdale also offers Continuing Care Retirement Communities where residents can live without moving when they need nursing care."
atriaseniorliving,Health Care,"It's what we all feel instinctively and science backs it up. A growing body of research shows that those who live in a caring, connected environment enjoy greater health and well-being than those who are isolated. At Atria, we are dedicated to creating vibrant communities where older adults realize healthier, happier, more meaningful lives, trading in loneliness for the company of neighbors, inactivity for movement, and boredom for purposeful engagement."
HCR Manorcare,Health Care,"HCR ManorCare is a leading provider of short-term, post-hospital services and long-term care with a network of more than 500 skilled nursing and rehabilitation centers, memory care communities, assisted living facilities, outpatient rehabilitation clinics, and hospice and home health care agencies. These locations operate primarily under the respected names of Heartland, ManorCare Health Services and Arden Courts."
Spartan Motors,Automotive Repair and Maintenance,"At Spartan Motors, understanding and planning for the road ahead is our business. Financial pressures are intensifying, budgets are tightening and productivity must be continually increased. At the same time, new technologies are forcing everyone to reconfigure old models and customize better and faster in order to stay competitive with relevant products. In today's rapidly changing environment, companies are vulnerable unless they can offer better value, a new solution and more productivity."
NAPA AutoCare Collision Center ,Automotive Repair and Maintenance,"For collision repairs, your local NAPA AutoCare Collision Center can provide you with a number of benefits, the foremost being integrity. NAPA AutoCare Collision Center owners know that, as a consumer, you have the right to choose where you decide to take your vehicles for service. Therefore, NAPA AutoCare Collision Center owners provide services you can trust and will work with your Insurance company to ensure that the proper repairs are made to restore your vehicle to pre-accident condition."
Manhattan Automobile Repair,Automotive Repair and Maintenance,"Manhattan Auto Repair is an exclusive, full-service auto repair shop servicing luxury, imported, classic and sports cars in New York City. With our factory-trained automotive teams, we have specialists for British motor cars (including Land Rover and Jaguar, German motor works, Swedish cars, sports cars and classic cars, and Cadillac and SUVs. From routine maintenance to full cosmetic restoration, by choosing Manhattan Auto Repair you can be sure of getting the best quality of work held to the highest standards."
Meineke,Automotive Repair and Maintenance,"We offer a variety of services to help you get back on the road and on with life. Complete car care centers, over 900 locations nationwide, Wide range of preventative maintenance to car repair service, Quality service from Car Care Pros since 1972!"
Richmond Auto Body,Automotive Repair and Maintenance,"Richmond Auto Body, in Amityville NY, keeps its auto body shop looking clean and professional. Our auto body facility features a well-lit and comfortable customer greeting area, and has a keen focus on customer service, including pick-up and drop-off services. Our auto body shop currently performs around 200 collision repairs per month, with the capacity to do more. We offer a hassle-free warranty on all auto body repairs for as long as you own the vehicle. If you aren't happy, we aren't happy, we strive for the best."
"Matco Tools, Inc.",Tool Manufacturing,"Matco Tools, Inc. is an American professional tool distributor for the automotive and other industries and is based in Stow, Ohio, United States. This includes over 13000 different tools such as wrenches, screw drivers, gauges, and specialty tools."
Harbor Freight Tools,Tool Manufacturing,"Harbor Freight Tools is a privately held discount tool and equipment retailer, headquartered in Calabasas, California, which operates a chain of retail stores as well as a mail-order and eCommerce business."
SK Hand Tools,Tool Manufacturing,"SK Hand Tools is an American tool company located in Sycamore, Illinois. Major products include sockets and drive tools, wrenches, air tools, and other mechanics' tools."
DeWalt,Tool Manufacturing,"DeWalt is an American worldwide brand of power tools and hand tools for the construction, manufacturing and woodworking industries. DeWalt is a trade name of Black & Decker Inc., a subsidiary of Stanley Black & Decker."
Cornwell Tools,Tool Manufacturing,"Cornwell Quality Tools, a privately held company, manufactures tools for the automotive and aviation industries. The company is based in Wadsworth, Ohio."
CSI Kickstart,Business Incubators,"Known for their mentorship, impressive toolbox spilling over with resources and the ability to connect projects with the right investors, possible investors, mentors and more, CSI has it all. The incubator offers everything from human resources to knowledgeable entrepreneurs with an in-house production company and even a virtual candy drawer!"
1M/1M,Business Incubators,"This global incubator is wholly digital and aspires to help one million entrepreneurs achieve one million dollars in annual revenue within the next four years. This will lead to up to ten million jobs. Based on online educational programming, you'll experience video lectures and get connected with online strategies and mentors. Aspects of this virtual incubator are free, but only approved members can access the entire program."
eFactory,Business Incubators,"Based at Missouri State University, recipients are startups that aren't physically nearby but are a good match for the program goals. Emerging businesses, startups and job creation are the goals of the eFactory. You can access the incubator program for support services, counseling, admin support and shared equipment. Mail services, virtual conference rooms and access to mailing lists and mentorship are at the heart of this program."
DreamIt Ventures,Business Incubators,"DreamIt focuses on the trifecta of the startup world -- startups themselves, investors and corporate innovators. It's one of the 20 most active incubators in the country, DreamIt is all about helping entrepreneurs scale via securing capital and customers. The incubator also partners with brands and corporations to help with pilot programs and tech advancement. Top angel networks and venture capitalists also connect with DreamIt for a healthy startup ecosystem."
500 Startups,Business Incubators,"Thousands of companies, over 3,000 founders and more than 50 countries have worked with 500 Startups to accelerate, grow, scale and get on the right track for long-term success. Known for their diversity in every which way, you'll find 500 Startups projects around the globe from Mexico City to Miami and Seoul to Berlin. They invest in all types of startups and offer a four-month accelerator approach that provides hands-on learning, office space, mentorship and an investment of 100000 for just 5 percent of a startup. It's not technically all offsite, but with so many options around the world, relocating won't be an issue for most."
Boeing,Aerospace,"As we enter our second century, Boeing is the world's largest aerospace company and leading manufacturer of commercial jetliners, defense, space and security systems, and service provider of aftermarket support. We are engineers and technicians. Skilled scientists and thinkers. Bold innovators and dreamers. Join us, and build something better for yourself, for our customers and for the world."
Airbus,Aerospace,"Airbus is a global leader in aeronautics, space and related services. In 2017 it generated revenues of 67 billion and employed a workforce of around 129,000. Airbus offers the most comprehensive range of passenger airliners from 100 to more than 600 seats. Airbus is also a European leader providing tanker, combat, transport and mission aircraft, as well as one of the world's leading space companies. In helicopters, Airbus provides the most efficient civil and military rotorcraft solutions worldwide."
Lockheed Martin,Aerospace,"Headquartered in Bethesda, Maryland, Lockheed Martin is a global security and aerospace company principally engaged in the research, design, development, manufacture, integration and sustainment of advanced technology systems, products and services."
United Technologies Corporation,Aerospace,"United Technologies Corporation serves customers in the commercial aerospace, defense and building industries. We do the big things the right way. Join us!"
Northrop Grumman,Aerospace,"Northrop Grumman is a leading global security company providing innovative systems, products and solutions in autonomous systems, cyber, C4ISR, strike, and logistics and modernization to customers worldwide."
influencegraphics,Commercial Printing,We offer the highest quality digital printing in New York City and specialize in rush delivery of short run printing projects.  Our state-of-the-art digital printing equipment provides our customers with all the flexibility and convenience that digital technology has to offer.  We are a local NYC printing company that prides itself on developing long term relationships with our customers.
phoenix graphics,Commercial Printing,Make your marketing efforts specific to each customer's needs. Sample the approach with any one customer segment before investing into a full-blown marketing campaign. Your message will go directly to the person you have targeted. The personalization of your message grabs his or her attention instantly. Digital printing will guarantee a better directed marketing campaign.
marxmyles,Commercial Printing,"We understand the importance of your project and are committed to assisting all of your commercial printing needs . You can relax with the confidence of knowing that at Mar x Myles, attention to detail is a must. We correct any flaws that are found in the materials sent to us for ultimate reproduction. We know that time is of the essence, and that meeting deadlines is essential. All trafficking of disks and copy, proofreading and corrections are handled quickly and efficiently."
Digital Lizard,Commercial Printing,"Digital Lizard is one of the most advanced digital print facilities in the United States. We have a fleet of digital presses, and a complete line of finishing equipment to meet all your fulfillment needs. As one of the fastest growing companies in the digital print industry, we are sure to have products and services to help you build and grow your business. Feel free to contact us about our various private label business solutions."
unionprinternyc,Commercial Printing,"Union-certified printing is the best way to assure high quality and professional results. Union-certified printing supports a living wage for working families.  And Union Printer NYC is your experienced resource to find the very best combination of quality, service and value."
Perelson Weiner,Accounting,"Perelson Weiner LLP is a service driven, highly technically knowledgeable, boutique CPA firm dedicated to helping businesses, high-net worth individuals and their families succeed. Our firm is consistently recognized as one of the fifty best firms in the United States and one of the five best in the Northeast."
Friedman LLP,Accounting,"Since 1924, Friedman LLP has been much more than an accounting and consulting firm. We offer tax, accounting, auditing, forensic and management advisory services to publicly/privately held companies and individuals. Our accessibility, personal commitment, entrepreneurial spirit and specialized expertise exemplify the qualities of our client service. "
Marcum LLP,Accounting,"Marcum LLP is one of the largest independent public accounting and advisory services firms in the nation, with offices in major business markets throughout the U.S., as well as Grand Cayman, China and Ireland."
RSM US LLP,Accounting,"RSM's purpose is to deliver the power of being understood to our clients, colleagues and communities through world-class audit, tax and consulting services focused on middle market businesses. The clients we serve are the engine of global commerce and economic growth, and we are focused on developing leading professionals and services to meet their evolving needs in today's ever-changing business environment."
BDO USA LLP,Accounting,"For more than 100 years, BDO USA has been recognized as a premier accounting, tax, financial advisory and consulting organization. Providing services to a wide range of publicly traded and privately held companies, BDO offers a sophisticated array of services and global capabilities, combined with the personal attention of experienced and committed professionals."
